,title,url,Unnamed: 2
0,"Sen. Lankford: Dems' COVID-19 Bill Would ‘Radically’, ‘Permanently' Change How America Votes",https://www.youtube.com/watch?v=DYaN94lJY4o,
1,Democrat Trump Supporter: I'll Risk Getting COVID-19 Again to Vote in Person,https://www.youtube.com/watch?v=2kJOFGTniM0,
2,McConnell: Democrat COVID-19 Bill Mentions Cannabis More than Jobs,https://www.youtube.com/watch?v=0UUeJviGptg,
3,"Trump Supporter: When VA Gov. Northam, Wife Got COVID-19 “Nobody Wished Death Upon Them""",https://www.youtube.com/watch?v=xBLeJ5M2aVM,
4,Sen. Lankford: Dems' COVID-19 Bill Would 'Encourage' Low-Wage Workers to Stay on Unemployment,https://www.youtube.com/watch?v=rZYD4sKXj98,
5,"Pence: Biden's Covid-19 Plan ""Looks a Little Bit Like Plagiarism""",https://www.youtube.com/watch?v=s3_ImlbQtcM,
6,Sen. Lankford: Cannabis Mentioned '68 Times' in Democrat’s COVID-19 Bill,https://www.youtube.com/watch?v=xHnuKWNG9zE,
7,McEnany: 'Media Has Tried to Scare the American People' over Coronavirus,https://www.youtube.com/watch?v=Jx0aM6hzGhs,
9,“I Think I’m Doing Very Well” — President Trump Addresses Nation After Testing Positive for COVID-19,https://www.youtube.com/watch?v=mgeXfGdmb_c,
10,Leftwing Media Continue to Pick and Choose Which Causes Are Excused from COVID-19 Mandates,https://www.youtube.com/watch?v=CYmxgpofKY4,
12,Reporter Speculates Herman Cain Contracted Coronavirus at Trump Rally,https://www.youtube.com/watch?v=5R7-pkJWdwc,
13,White House Coronavirus Task Force Briefing,https://www.youtube.com/watch?v=op68IX7C3CE,
14,Donald Trump Declares National Emergency over Coronavirus,https://www.youtube.com/watch?v=8DCe3Eb1I-4,
16,Dr. Fauci Testifies: ‘No Guarantee’ Coronavirus Vaccine Will Be Effective,https://www.youtube.com/watch?v=5iDG5y3Wa3M,
17,"Mexican Cartel Gunmen, Cops Paddle Coronavirus Lockdown Violators",https://www.youtube.com/watch?v=Ha4DMlkXzlE,
18,Reporter Asks Kayleigh McEnany if Trump Will Make Coronavirus Vaccine 'Mandatory',https://www.youtube.com/watch?v=ORHhcwhIsLo,
19,Donald Trump: Coronavirus Exposed Dangers of Supply Chains Dependent on China,https://www.youtube.com/watch?v=VsHEUJkRlqo,
20,Joe Biden Incorrectly Calls Coronavirus ‘COVID-9’,https://www.youtube.com/watch?v=OTcpj1dXXo8,
24,President Trump Holds Coronavirus Task Force Briefing,https://www.youtube.com/watch?v=NIdcwngM-rA,
25,President Trump Holds Coronavirus Task Force Briefing,https://www.youtube.com/watch?v=b7KoG32Zy4k,
26,Donald Trump: Chloroquine Treatment for Coronavirus Showing ‘Tremendous’ Results,https://www.youtube.com/watch?v=R6z1knXfHtw,
