,title,url,Unnamed: 2
0,Part 1: COVID-19 Is Here to Stay,https://www.youtube.com/watch?v=AfpcUf7xQZo,
1,L.A. County jail inmates try to get COVID-19 to be set free,https://www.youtube.com/watch?v=vXScMw3-YAc,
3,How herd immunity will help us fight COVID-19,https://www.youtube.com/watch?v=vPk70WRNF4E,
4,COVID-19 testing in skid row: Understanding the spread of the coronavirus in the homeless community,https://www.youtube.com/watch?v=1GPyOJRhC88,
5,COVID-19 and the uninsured: White House task force responds to questions,https://www.youtube.com/watch?v=nx2IHPi4NOs,
6,Trump announced measures to combat the COVID-19 pandemic in hardest-hit states,https://www.youtube.com/watch?v=lKgckmnZtyo,
10,Can we get a vaccine for COVID-19 by next year?,https://www.youtube.com/watch?v=uQ_MTxZ-pVE,
11,L.A. swap meets try to rebound from COVID-19 shutdown,https://www.youtube.com/watch?v=OWhXjLED_00,
12,Newsom launches COVID-19 testing plan to guarantee results in 48 hours,https://www.youtube.com/watch?v=FgkBfz7K8QA,
13,Trump says progress made against COVID-19,https://www.youtube.com/watch?v=w4HeQSJvJ1E,
14,Newsom details new precautions for wildfire evacuations amid COVID-19 pandemic,https://www.youtube.com/watch?v=qm6VgdKKw9c,
15,Coronavirus hoarding: Is it necessary?,https://www.youtube.com/watch?v=g0nsDiE81Mc,
16,Newsom announces California small businesses will receive COVID-19 relief,https://www.youtube.com/watch?v=qgNYCn3yYIc,
18,People are part of the solution to COVID-19 crisis,https://www.youtube.com/watch?v=Jhyp18Ms-JY,
20,More counties removed from California’s COVID-19 watchlist,https://www.youtube.com/watch?v=59_Hl_5nri4,
21,California officials halt indoor operations in 19 counties amid coronavirus surge,https://www.youtube.com/watch?v=m3LZsTBuBo4,
22,This small Texas hospital is finding ways to save COVID-19 patients,https://www.youtube.com/watch?v=UK0V0FpnBxM,
23,California tackles troubling coronavirus infection rates in the Central Valley,https://www.youtube.com/watch?v=-8Vdsncuy-c,
25,What my coronavirus drive-through test looked like,https://www.youtube.com/watch?v=GDVRB__lueM,
28,"Farmworkers face coronavirus risk, keep us fed",https://www.youtube.com/watch?v=x7TCsaRWwTM,
29,Mayor Eric Garcetti and Dodgers announce opening of California’s largest COVID-19 testing facility,https://www.youtube.com/watch?v=dwX6Bp2ouWI,
30,Trump national security advisor tests positive for COVID-19,https://www.youtube.com/watch?v=YKisn4YbG0I,
32,Discovery that led to Viagra could help battle coronavirus,https://www.youtube.com/watch?v=lO_IPA_woo8,
33,Italian doctor describes coronavirus solutions five weeks in,https://www.youtube.com/watch?v=SdRdZyfz2Z8,
34,"He was released after 45-day COVID-19 stay, the longest of any local coronavirus patient",https://www.youtube.com/watch?v=FaL7aiiwdY8,
35,Workers fear returning to work will bring COVID-19,https://www.youtube.com/watch?v=Z4kDJVkzFVc,
36,Cannabis is seen as essential in California during the coronavirus crisis,https://www.youtube.com/watch?v=YDug5BMqqlo,
37,Trump calls the coronavirus the ‘kung flu’,https://www.youtube.com/watch?v=fN2tgtcKGck,
40,"California has the most coronavirus cases of any state, but there are signs of hope, Newsom says",https://www.youtube.com/watch?v=KaaQIgG9fgw,
41,Antibody testing seeks answers for how many people in L.A. had COVID-19,https://www.youtube.com/watch?v=Odr-CdkP5I0,
43,Peru confirms first Coronavirus case,https://www.youtube.com/watch?v=aDDP4eUsyEU,
44,Alarming spike in coronavirus sparks fears California is 'starting to lose this battle',https://www.youtube.com/watch?v=Q-P9qY2A6-Y,
45,An epidemic of hate: anti-Asian hate crimes amid coronavirus,https://www.youtube.com/watch?v=7nlenypkMww,
46,Trump calls coronavirus 'the Chinese virus',https://www.youtube.com/watch?v=0pjsx94m8qA,
47,Trump talks about White House staff testing positive for COVID-19,https://www.youtube.com/watch?v=LVA_ZoRxhoA,
48,What Germany is doing right to fight the coronavirus,https://www.youtube.com/watch?v=YILJnEqznZc,
49,The (nearly) empty beaches of L.A. County due to coronavirus,https://www.youtube.com/watch?v=Mn-HlAQh3t8,
50,"Trump says fewer tests means fewer coronavirus cases, tests are overrated",https://www.youtube.com/watch?v=hIyAi-Mzu0g,
51,Coronavirus survivor loses work after quarantine,https://www.youtube.com/watch?v=DC16tzDpRxo,
52,"As coronavirus spreads, LAX is becoming a ghost town",https://www.youtube.com/watch?v=2tWUjz14kjw,
53,Coronavirus prompts Islamic Center to encourage hands-free greetings,https://www.youtube.com/watch?v=eSvBQsDWAKY,
54,Gov. Gavin Newsom discusses California's economic response to COVID-19,https://www.youtube.com/watch?v=RCsPCEB4U7g,
55,‘Broken’ coronavirus tracking system leaves California in the dark: ‘We have no idea’,https://www.youtube.com/watch?v=PRhJCqWSMLA,
57,"More counties on California's coronavirus watch list, Newson says",https://www.youtube.com/watch?v=PS_N_RZxVxQ,
58,Introduction: Understanding the coronavirus,https://www.youtube.com/watch?v=oYsZtQE3VSc,
59,Health expert says coronavirus vaccine is at least a year away,https://www.youtube.com/watch?v=tKVC_mo8dv4,
61,Are ‘silent spreaders’ fueling the coronavirus pandemic?,https://www.youtube.com/watch?v=g50cOrPhniI,
62,Coronavirus Q&A: We answer your questions,https://www.youtube.com/watch?v=fVom3XoG770,
64,"L.A. Mayor Eric Garcetti details progress in the COVID-19 fight, LAPD reforms",https://www.youtube.com/watch?v=5gayby2dAfI,
65,California food workers will get extra paid sick leave in coronavirus crisis,https://www.youtube.com/watch?v=d9seHlC_lIs,
66,How to avoid eviction if you can't pay rent due to Covid-19,https://www.youtube.com/watch?v=hFOfHnO2Nx8,
67,Fishing the L.A. River during COVID-19,https://www.youtube.com/watch?v=yeyj0ymtfNU,
68,Empty L.A.: In the time of coronavirus,https://www.youtube.com/watch?v=ikqymBf1Qn8,
69,Ask a virologist: Your serious and embarrassing coronavirus questions,https://www.youtube.com/watch?v=8UFsCqT3LMw,
70,"Herman Cain, former GOP presidential candidate, dies of COVID-19",https://www.youtube.com/watch?v=mZs2EFMafEY,
71,California Gov. Gavin Newsom warns of rise in coronavirus cases,https://www.youtube.com/watch?v=m4PGf6MoXOI,
74,Los Angeles County declares coronavirus emergency,https://www.youtube.com/watch?v=_NyvsFkU7lc,
75,Will there be a second round of coronavirus stimulus checks? Probably not soon,https://www.youtube.com/watch?v=xPYLOCwWuMw,
76,Actor Idris Elba tests positive for coronavirus,https://www.youtube.com/watch?v=vwszpjQwzmo,
77,WHO calls coronavirus a pandemic,https://www.youtube.com/watch?v=__TKWHWjgDU,
78,Thousands protest across California over coronavirus restrictions,https://www.youtube.com/watch?v=29_iTehYKzk,
79,Auto racing returns to California since start of coronavirus shutdowns,https://www.youtube.com/watch?v=2q-NpxcpreI,
80,"In Iran, worries and resilience in the face of the coronavirus",https://www.youtube.com/watch?v=qNvwOZNKQQg,
