,title,url,Unnamed: 2
0,COVID-19 cases resurge as colder weather moves in | WNT,https://www.youtube.com/watch?v=5gHehjiX1-8,
1,"Dr. Anthony Fauci says US could hit 400,000 COVID-19 deaths",https://www.youtube.com/watch?v=929JS35DSks,
2,US reports highest single-day of COVID-19 deaths | UPDATE,https://www.youtube.com/watch?v=khrHs98DBd0,
5,COVID-19 now the third leading cause of death in the US,https://www.youtube.com/watch?v=aD03gPr_Ofg,
6,The latest on COVID-19 symptoms,https://www.youtube.com/watch?v=F1IurSdJhug,
7,COVID-19 cases have reached a staggering 4.1 million in the US,https://www.youtube.com/watch?v=jfWtqrn6Mqk,
8,New evidence suggests America’s fight with COVID-19 is far from over | ABC News,https://www.youtube.com/watch?v=lehEpNjGIQY,
9,Florida hits 10K new COVID-19 cases for 6th consecutive day l ABC News,https://www.youtube.com/watch?v=D2axuhEG7Z4,
10,Dwayne ‘The Rock’ Johnson reveals family tested positive for COVID-19,https://www.youtube.com/watch?v=97zsLVrinEA,
11,CDC updates website on COVID-19 and surfaces,https://www.youtube.com/watch?v=WvwWLn1KpVE,
12,COVID-19 vaccine trials enter new phase in US l GMA,https://www.youtube.com/watch?v=0793ssZH6hE,
13,Dalai Lama speaks out on COVID-19,https://www.youtube.com/watch?v=NEWqRcy-6Wg,
14,"Approaching 100,000 US deaths due to COVID-19",https://www.youtube.com/watch?v=YihvRKkDHS8,
15,Russia claims it’s in the last phase of COVID-19 vaccine trials,https://www.youtube.com/watch?v=4Zh_3WbLuE4,
16,California hits a new daily record for COVID-19 deaths,https://www.youtube.com/watch?v=IPxSoaQE-94,
17,More students quarantined due to school’s COVID-19 outbreak,https://www.youtube.com/watch?v=T2v71N8oNu8,
18,"Arizona, Texas set records for COVID-19 hospitalizations l ABC News",https://www.youtube.com/watch?v=itzD6unpne0,
19,Hong Kong’s COVID-19 surge,https://www.youtube.com/watch?v=bTSWrUDskwE,
20,COVID-19 deaths near 1 million worldwide,https://www.youtube.com/watch?v=TWVLMmqatec,
21,A Fourth of July unlike any other as COVID-19 cases keep rising,https://www.youtube.com/watch?v=oW8KbRGUsIs,
22,CDC tells officials to prepare to distribute COVID-19 vaccine by early November | WNT,https://www.youtube.com/watch?v=scnShiL0FzU,
23,'We need help': Alabama prisoner pleas for assistance in fighting COVID-19 | ABC News,https://www.youtube.com/watch?v=kkPxz6zrChU,
24,NFL scrambles in battle against COVID-19,https://www.youtube.com/watch?v=1PiKiZeBzGQ,
25,"US COVID-19 death toll could reach 200,000 by Labor Day, CDC predicts | WNT",https://www.youtube.com/watch?v=lyssi01SSG0,
26,Lesson from South Korea on how to slow the COVID-19 spread | ABC News,https://www.youtube.com/watch?v=PHV4ukogdE0,
27,Study examines spread of COVID-19 in restaurant | WNT,https://www.youtube.com/watch?v=9ppasL1Gym0,
28,"US sees 40,000 new COVID-19 cases in 1 day l ABC News",https://www.youtube.com/watch?v=Ytke691rGt8,
29,California closes back down as COVID-19 cases rise l ABC News,https://www.youtube.com/watch?v=iYJrd5_wQUk,
30,Nine states report record-high number of COVID-19 cases,https://www.youtube.com/watch?v=PUTaVOlOo00,
31,ABC News correspondent speaks out after testing positive for COVID-19,https://www.youtube.com/watch?v=srdM80Ua_1s,
32,The latest on COVID-19 antibodies and immunity,https://www.youtube.com/watch?v=30ZNTo8foyY,
33,"US COVID-19 death toll could reach 200,000 by Labor Day, CDC predicts | WNT",https://www.youtube.com/watch?v=lyssi01SSG0,
34,COVID-19 responses in countries around the world see varied results l Nightline,https://www.youtube.com/watch?v=xRFHChvYjVM,
35,"As US surpasses 200,000 COVID-19 deaths, a new warning about Halloween",https://www.youtube.com/watch?v=Ltib33k90wo,
36,How libraries are coping during COVID-19,https://www.youtube.com/watch?v=5ihUYjScBtk,
37,COVID-19 upends the college experience,https://www.youtube.com/watch?v=G0rDZVgEws8,
38,31% of kids in Florida tested for COVID-19 are positive l ABC News,https://www.youtube.com/watch?v=WKgfEceRpLc,
39,More students quarantined due to school’s COVID-19 outbreak,https://www.youtube.com/watch?v=T2v71N8oNu8,
40,COVID-19 cases have reached a staggering 4.1 million in the US,https://www.youtube.com/watch?v=jfWtqrn6Mqk,
41,Gym safety in the time of COVID-19,https://www.youtube.com/watch?v=3BaSbpvdBOo,
42,Visual Tracking: COVID-19 and the White House,https://www.youtube.com/watch?v=ZArPjmLDVGg,
43,Communities of color see alarming rates of COVID-19 cases,https://www.youtube.com/watch?v=tgyZXMCJYDY,
44,"US sees 40,000 new COVID-19 cases in 1 day l ABC News",https://www.youtube.com/watch?v=Ytke691rGt8,
45,COVID-19 empties out New York,https://www.youtube.com/watch?v=RG9WtM1HfBk,
46,Boris Johnson tests positive for COVID-19,https://www.youtube.com/watch?v=2QwGEqTBsGo,
47,Florida hits 10K new COVID-19 cases for 6th consecutive day l ABC News,https://www.youtube.com/watch?v=D2axuhEG7Z4,
48,Long-term heart effects of COVID-19,https://www.youtube.com/watch?v=L5MLrafV2ik,
49,"Italy, Spain at forefront of Europe's COVID-19 outbreak",https://www.youtube.com/watch?v=cNomITm-Cr8,
50,Latin America emerges as COVID-19 hotspot,https://www.youtube.com/watch?v=HxGFaWplW9o,
51,California closes back down as COVID-19 cases rise l ABC News,https://www.youtube.com/watch?v=iYJrd5_wQUk,
52,12-year-old describes how she fought COVID-19,https://www.youtube.com/watch?v=H4uEGdK8rQ0,
53,US has the highest COVID-19 death toll of any country,https://www.youtube.com/watch?v=_NDxR5yYxyY,
54,Mourners struggle as COVID-19 overwhelms funeral homes,https://www.youtube.com/watch?v=h5TRfNAaoSQ,
55,President Trump speaks at COVID-19 briefing,https://www.youtube.com/watch?v=LFnUJX_UB_8,
56,COVID-19 vaccine trials enter new phase in US l GMA,https://www.youtube.com/watch?v=0793ssZH6hE,
57,Russia announces approval for COVID-19 vaccine l GMA,https://www.youtube.com/watch?v=_84u_AWAp0E,
58,The new normal: COVID-19 sniffing dogs,https://www.youtube.com/watch?v=wfc6QdBiRK8,
59,Texas on alert over COVID-19 resurgence,https://www.youtube.com/watch?v=2u0w7dcFzCk,
60,"Alexandria Ocasio Cortez on COVID-19 impact in her district, response to the virus",https://www.youtube.com/watch?v=dejUbFMadjI,
61,COVID-19 death rate climb in 25 states l WNT,https://www.youtube.com/watch?v=1dGjAkDfdO8,
62,"Texas reaches milestone of 10,000 COVID-19 infections",https://www.youtube.com/watch?v=55lFcn2X-z8,
63,High number of COVID-19 patients have blood clots | WNT,https://www.youtube.com/watch?v=obWdv4IiAi4,
64,"COVID-19 exacerbates Mississippi's deep racial, economic and health care divides | Nightline",https://www.youtube.com/watch?v=lbFozcJuCws,
65,"US COVID-19 death toll surpasses 170,000",https://www.youtube.com/watch?v=lrQ6lp9zv7I,
66,Mysterious syndrome affecting children possibly linked to COVID-19,https://www.youtube.com/watch?v=0GE4dq9G-rA,
67,Death rewrites timeline of US COVID-19 outbreak | WNT,https://www.youtube.com/watch?v=pzTtusYk1p0,
68,The difference between influenza and COVID-19,https://www.youtube.com/watch?v=8r3mUR5wgik,
69,Investigating the origin of the COVID-19 outbreak l ABC News,https://www.youtube.com/watch?v=nMv1F6BXcEE,
70,Ecuadorian government grapples with COVID-19 cases,https://www.youtube.com/watch?v=nF_MHT0Phvw,
71,Bill and Melinda Gates join global fight against COVID-19,https://www.youtube.com/watch?v=jiB7t1XJwxc,
72,Living with COVID-19 in Alabama,https://www.youtube.com/watch?v=mNwEfqTsyCE,
73,Over 5M US COVID-19 cases as debate continues over kids safety at schools l GMA,https://www.youtube.com/watch?v=6sc5mGwh43k,
74,COVID-19 upends the college experience,https://www.youtube.com/watch?v=G0rDZVgEws8,
75,COVID-19 survivors recount battling severe illness early on in the pandemic: Part 1,https://www.youtube.com/watch?v=VXWclepBthU,
76,"Italy, Spain at forefront of Europe's COVID-19 outbreak",https://www.youtube.com/watch?v=cNomITm-Cr8,
77,Brazil’s Amazon a hotspot for COVID-19 infections,https://www.youtube.com/watch?v=dox8u8y7qfU,
78,Johnson & Johnson vaccine is a lead candidate for COVID-19,https://www.youtube.com/watch?v=jzAv89efClQ,
79,Vaccine Watch: When will a COVID-19 vaccine be ready?,https://www.youtube.com/watch?v=dRAiDFDH710,
80,Feeding children left hungry by COVID-19,https://www.youtube.com/watch?v=kR5JPCpSMYo,
81,Dwayne ‘The Rock’ Johnson reveals family tested positive for COVID-19,https://www.youtube.com/watch?v=97zsLVrinEA,
82,"Recovering COVID-19 patient talks about being on a ventilator, how it saved him | Nightline",https://www.youtube.com/watch?v=jtFVT-LeTLs,
83,Minnesota is seeing one of the lowest infection rates for COVID-19 in the US,https://www.youtube.com/watch?v=tHNwOVVlNlA,
84,Boris Johnson tests positive for COVID-19,https://www.youtube.com/watch?v=2QwGEqTBsGo,
86,The new normal: COVID-19 sniffing dogs,https://www.youtube.com/watch?v=wfc6QdBiRK8,
87,The latest on COVID-19 antibodies and immunity,https://www.youtube.com/watch?v=30ZNTo8foyY,
88,NYC doctors on COVID-19 this fall l ABC News,https://www.youtube.com/watch?v=E2Ct99OEWrA,
89,COVID-19 cases climb in Mexico | ABC News,https://www.youtube.com/watch?v=RqYb5siQxnQ,
90,How COVID-19 turned US nursing homes into devastating hotspots | Nightline,https://www.youtube.com/watch?v=M_EOG1fdwtE,
91,Texas sees steady rise in COVID-19 cases since reopening 2 weeks ago,https://www.youtube.com/watch?v=aWG1jtXlEeM,
92,COVID-19 nears 20 million cases worldwide,https://www.youtube.com/watch?v=wEeWJZNA-sc,
94,Louisiana's rising number of COVID-19 cases,https://www.youtube.com/watch?v=qyxpUXXkk5o,
95,Russia's COVID-19 cases skyrocket,https://www.youtube.com/watch?v=sgfsi7_n0RU,
96,ABC News Live Update: Putin says Russia has COVID-19 vaccine,https://www.youtube.com/watch?v=L1qicmqFBaY,
97,40 percent hospitalized with COVID-19 are under age 54,https://www.youtube.com/watch?v=JtHQGYrLAIo,
98,Doctors trying to understand COVID-19 symptoms left with more questions,https://www.youtube.com/watch?v=0Uz0mkSWbfQ,
99,Signs of strength during COVID-19,https://www.youtube.com/watch?v=7Pk7oyi8CAE,
100,Navajo Nation: Where COVID-19 claims whole families,https://www.youtube.com/watch?v=H6FcRe1ymxc,
101,COVID-19 is ‘not as mild as people believe’: Epidemiologist,https://www.youtube.com/watch?v=sXWEwsJpK_c,
102,Nursing home facilities new epicenter for COVID-19 | WNT,https://www.youtube.com/watch?v=xJ6bKaisiNE,
103,Trump’s 1st time back in front of supporters since positive COVID-19 test,https://www.youtube.com/watch?v=pcT2jV3AffQ,
104,COVID-19 shrinks economic growth,https://www.youtube.com/watch?v=7g85VFD0N2g,
105,Rise in COVID-19 infection rates for children at school?,https://www.youtube.com/watch?v=5YjEL0xs8zo,
106,What children miss from before COVID-19 crisis,https://www.youtube.com/watch?v=DcUW2tEbh_g,
107,Mounting anger over COVID-19 business shutdowns leads to protests in multiple states,https://www.youtube.com/watch?v=b2vip71s1x8,
108,The latest on treatments for severe COVID-19 cases,https://www.youtube.com/watch?v=ael_7z9eYqc,
109,Protesters urged to get tested for COVID-19,https://www.youtube.com/watch?v=IclySqcyP5o,
110,"Weeks into COVID-19 crisis, US struggles to keep up with soaring cases",https://www.youtube.com/watch?v=yHjVmwQwszw,
111,1 out of every 3 COVID-19 deaths is a nursing home resident or worker,https://www.youtube.com/watch?v=Xfg6la5Mllg,
112,China takes ‘wartime emergency’ measures to head off 2nd COVID-19 wave,https://www.youtube.com/watch?v=30-oT4nD_jU,
113,COVID-19 cases spread across the country,https://www.youtube.com/watch?v=zOhlpUXyO08,
114,Some of the faces of those lost to COVID-19 this week,https://www.youtube.com/watch?v=D4p_5hggHQQ,
