,title,url,Unnamed: 2
0,COVID-19 pandemic creates more job shortages in the education sector,https://www.youtube.com/watch?v=sLUxTal915g,
1,U.S. struggles to control spread of COVID-19,https://www.youtube.com/watch?v=xXzlG0XXFGk,
2,What's behind the rise in COVID-19 cases in the U.S.?,https://www.youtube.com/watch?v=-WyYARdk5-k,
3,Moderna's COVID-19 vaccine looks promising for elderly,https://www.youtube.com/watch?v=k7cJK-DW9zc,
4,U.S. COVID-19 deaths rose 24%  last week; new cases down 9%,https://www.youtube.com/watch?v=lmHy_EeUOkI,
5,"U.S. records more than 200,000 deaths from COVID-19",https://www.youtube.com/watch?v=KCY7DqQj0jI,
7,Concerns over food insecurity grow amid COVID-19 pandemic,https://www.youtube.com/watch?v=6EbJitc0kX4,
8,Woodward tapes show Trump knew the dangers of COVID-19 but downplayed it,https://www.youtube.com/watch?v=HJkVOs0s3mw,
9,"What ""superforecasters"" predict for the COVID-19 pandemic",https://www.youtube.com/watch?v=etRrQSJfhjU,
10,ICU doctor on Trump's COVID-19 diagnosis,https://www.youtube.com/watch?v=sI3FqwotT84,
11,"Trump: COVID-19 death toll in U.S. could reach 100,000",https://www.youtube.com/watch?v=1zn6Xthdy_w,
12,New studies show many with COVID-19 have no symptoms,https://www.youtube.com/watch?v=MycLYWPqzfo,
13,Trump's COVID-19 diagnosis sparks conspiracy theories,https://www.youtube.com/watch?v=irl26GxUCR4,
14,Los Angeles County reports single-day record number of new COVID-19 cases,https://www.youtube.com/watch?v=xIU-RqB2Czg,
15,U.S. children hospitalized with mysterious condition possibly linked to COVID-19,https://www.youtube.com/watch?v=TPcVeVy7i9o,
16,Doctor discusses latest COVID-19 vaccine developments,https://www.youtube.com/watch?v=JyegIPGSwBE,
17,Fired Florida data scientist speaks out as COVID-19 cases spike,https://www.youtube.com/watch?v=BeLj5DBp-84,
18,Turkey using hydroxychloroquine for COVID-19,https://www.youtube.com/watch?v=KSgbYwWFZC8,
19,Poll shows many Americans skeptical about COVID-19 vaccine,https://www.youtube.com/watch?v=oZQQ4oO_v2Y,
20,Local Matters: Arizona sees record spike in COVID-19 cases,https://www.youtube.com/watch?v=EXfIf1QUapk,
21,Puerto Rico slowly reopening economy despite rising numbers of COVID-19 cases,https://www.youtube.com/watch?v=CG5D2EdbgKw,
22,"Florida governor says state ""not going back"" on reopening despite COVID-19 spike",https://www.youtube.com/watch?v=ghbiBOp8vws,
23,Japan now under COVID-19 state of emergency,https://www.youtube.com/watch?v=-lindDR3uUE,
24,"Trump plans rally, claims he's immune to COVID-19 despite medical uncertainty",https://www.youtube.com/watch?v=vL1h8_yCdbE,
25,Scientists warn brain damage may be linked to COVID-19,https://www.youtube.com/watch?v=HDWNaJq9TrU,
26,Some countries roll out experimental COVID-19 vaccines,https://www.youtube.com/watch?v=xscvpSiV1dA,
27,Joe Biden says he's praying for President Trump's recovery from COVID-19,https://www.youtube.com/watch?v=98IogTnnvWE,
28,U.K. launches tracing app to track COVID-19,https://www.youtube.com/watch?v=bgEanDEVqlg,
29,Doctor fact-checks claims on COVID-19 deaths,https://www.youtube.com/watch?v=Pybo_GPHfh8,
30,Joe Biden says he's praying for President Trump's recovery from COVID-19,https://www.youtube.com/watch?v=98IogTnnvWE,
31,"Florida governor says state ""not going back"" on reopening despite COVID-19 spike",https://www.youtube.com/watch?v=ghbiBOp8vws,
32,Doctor fact-checks claims on COVID-19 deaths,https://www.youtube.com/watch?v=Pybo_GPHfh8,
33,Impact of the COVID-19 pandemic on mental health worldwide,https://www.youtube.com/watch?v=Gu52tFllR8I,
34,New Orleans sees deadly racial disparities of COVID-19,https://www.youtube.com/watch?v=twuQVn8aLhU,
35,Doctor on COVID-19 symptoms and the deadly risks of seeking herd immunity,https://www.youtube.com/watch?v=rfveUYny4d0,
36,Oxford University leads one of world's largest studies on COVID-19 recovery,https://www.youtube.com/watch?v=qWoQBX1Robw,
37,Pennsylvania nursing home presumes all staff and residents have COVID-19,https://www.youtube.com/watch?v=s5Eyu9ckHyM,
38,Study identifies risk factors for COVID-19 deaths as PPE runs short again,https://www.youtube.com/watch?v=JV-OJ4h94Os,
39,"Doctor on COVID-19 deaths: ""We have had the tools to prevent this""",https://www.youtube.com/watch?v=jWDICkWtLlg,
40,What's behind India's lower coronavirus death rate?,https://www.youtube.com/watch?v=qA4OvXfYVxg,
41,"Study warns coronavirus pandemic could lead to 75,000 U.S. ""deaths of despair""",https://www.youtube.com/watch?v=NZiLSPCHwdM,
42,Sharp rise in children testing positive for COVID-19,https://www.youtube.com/watch?v=e-wQXlux-fU,
44,Researchers suggest cannabis should be studied as possible treatment for COVID-19,https://www.youtube.com/watch?v=XgWZoVGivBM,
46,"Trump changes tone on COVID-19 as U.S. sees more than 1,000 deaths in a single day",https://www.youtube.com/watch?v=EkDDb0y-FAc,
47,Concerns about staying safe as states see spike in COVID-19 cases,https://www.youtube.com/watch?v=ovN8sjcegQk,
48,Cuomo reveals new data on COVID-19 hospitalizations,https://www.youtube.com/watch?v=2Vggr3uI-hM,
49,"Study: ""Silent spreaders"" behind half of COVID-19 cases",https://www.youtube.com/watch?v=X7ZwOSUYUgk,
50,Some countries roll out experimental COVID-19 vaccines,https://www.youtube.com/watch?v=xscvpSiV1dA,
51,Pediatrician answers questions about children and COVID-19,https://www.youtube.com/watch?v=Lcp82T12uwE,
52,"Trump says U.S. economy is ""roaring back"" despite surge in COVID-19 cases",https://www.youtube.com/watch?v=GPBgKSV6lOI,
53,Trump to hold first public events since COVID-19 diagnosis,https://www.youtube.com/watch?v=S-Du7sF2fsE,
54,NIH issues new guidance on COVID-19 drugs,https://www.youtube.com/watch?v=c_hOcDc9RVM,
55,Understanding the extent of damage COVID-19 does to the body,https://www.youtube.com/watch?v=soNC8nhk6Yc,
56,Doctor breaks down the racial disparities of COVID-19,https://www.youtube.com/watch?v=4C-1kyFZnw8,
57,Coronavirus cases continue to spike in Texas and Florida,https://www.youtube.com/watch?v=fQOgKBji3B0,
58,COVID-19 risks divide rural and urban areas in the U.S.,https://www.youtube.com/watch?v=TUHQ-dxkTqk,
59,Incoming college freshmen might delay school due to COVID-19,https://www.youtube.com/watch?v=ueLHW0XD1O4,
60,The future of travel after the coronavirus pandemic,https://www.youtube.com/watch?v=C8zYFmLdnVg,
61,"U.S. records 1,000+ COVID-19 deaths five times in the past week",https://www.youtube.com/watch?v=w4B2Sl-6Fzk,
62,The state of Black America amid COVID-19,https://www.youtube.com/watch?v=HIidE-u9Lfc,
63,Trump and first lady Melania Trump test positive for COVID-19,https://www.youtube.com/watch?v=DNxwLNX1CYE,
64,Masking America’s fears: How do we get people to take COVID-19 seriously?,https://www.youtube.com/watch?v=7WaLlJgifAk,
65,The racial impact of COVID-19,https://www.youtube.com/watch?v=lN3QKDQ_y_w,
66,66% of N.Y. coronavirus hospitalizations are people who stayed home,https://www.youtube.com/watch?v=EZ7Bv41T0lw,
67,Florida could be next epicenter of the coronavirus pandemic,https://www.youtube.com/watch?v=7jbjf24mnLw,
68,U.S.-China tensions escalate over COVID-19 response,https://www.youtube.com/watch?v=X9ewRNj3tTE,
69,Schools struggle with reopening amid COVID-19 pandemic,https://www.youtube.com/watch?v=0AsCZlLr8fE,
70,How to distinguish cold and flu from COVID-19,https://www.youtube.com/watch?v=HmYEmQ0mrZY,
71,At least 317 immigrants in ICE custody test positive for COVID-19,https://www.youtube.com/watch?v=JDb30kypwO0,
72,"Despite Trump's claims, immunity from COVID-19 is not a sure thing, doctors say",https://www.youtube.com/watch?v=p-HC77oMsyk,
73,Germany's low coronavirus death rate,https://www.youtube.com/watch?v=5NHS32CrKHM,
74,Texas governor pauses reopening as coronavirus cases surge,https://www.youtube.com/watch?v=tBnXIjMl3Mc,
75,Some officials take precautions after COVID-19 confirmed in the White House,https://www.youtube.com/watch?v=ZYY4HZl484o,
