,title,url
0,"Eric Trump, Touts Nonexistent, COVID-19 ,Vaccine",https://www.youtube.com/watch?v=i-mpN8fP-2o
5,"Trump Down,plays Coronavirus ,? Again","ht,tps://www.youtube.com/watch?v=ZuWB3nxoeL4"
6,"Trump Down,plays COVID-19 Dea,th Toll ..,. Again",https://www.youtube.com/watch?v=kUlq4020EgI
8,"Trump Cont,radicts Experts On, COVID-19 ,Vaccine Timeline",https://www.youtube.com/watch?v=_lKvM2-4NVs
18,"Undocument,ed Immigrants Live, In Fear A,mid Coronavirus",https://www.youtube.com/watch?v=IP6a0_O4dg0
22,"COVID-19 C,ases Surge In Red ,States","htt,ps://www.youtube.com/watch?v=WuF77wWFxpA"
25,"Republican,s Praise Trump For, Not Dying, Of COVID-19",https://www.youtube.com/watch?v=757hbd-uNcs
31,"How Democr,ats Failed To Seiz,e On GOP?s, Lackluster Coronavirus Response.",https://www.youtube.com/watch?v=hvYdA0FUXcs
38,"Trump?s Re,ckless COVID-19 Jo,yride","http,s://www.youtube.com/watch?v=k4S7bgClvA0"
41,"Combating ,Loneliness In Isol,ation Duri,ng The Coronavirus Pandemic",https://www.youtube.com/watch?v=r6h-wF-ooVw
42,"Obama Hint,s At Coronavirus M,essage For, Trump",https://www.youtube.com/watch?v=K1ksZFnyzdM
43,"RNC Chair ,Ronna McDaniel Dis,ses Biden ,For COVID-19 Response",https://www.youtube.com/watch?v=3AIbqdI3XwQ
44,"Trump Thin,ks Coronavirus Wil,l ?Disappe,ar?",https://www.youtube.com/watch?v=UNXJkeYoCus
48,"#Next20: R,eimagining small b,usinesses ,during COVID-19",https://www.youtube.com/watch?v=6WiiK_yZoYw
53,"Dr. Trump?,s Coronavirus ?Cur,es?","https:,//www.youtube.com/watch?v=7VOIBksmjdY"
57,"Brazilian ,President Jair Bol,sonaro Tes,ts Positive For Coronavirus",https://www.youtube.com/watch?v=QLWiidZ1NLY
58,"How To Nav,igate Remote Learn,ing With Y,our Kids During COVID-19",https://www.youtube.com/watch?v=kvCSq_VLTVY
65,"Florida Hi,ts Coronavirus Rec,ord","https:,//www.youtube.com/watch?v=1a3tcV7uo_k"
