,title,url,Unnamed: 2
0,One Reason Why The Coronavirus Is Good At Spreading | Short Wave | NPR,https://www.youtube.com/watch?v=KPuunZliFWQ,
1,Tracing The Origins Of The Coronavirus | Short Wave | NPR,https://www.youtube.com/watch?v=hG4VQX5ZZyA,
2,Kevin Hart on COVID-19 and Nationwide Protests with Guy Raz | How I Built This | NPR,https://www.youtube.com/watch?v=hF-g7FrxBpc,
3,Bumble CEO and Founder on Connecting during COVID-19 | How I Built This with Guy Raz | NPR,https://www.youtube.com/watch?v=ukGbdZx-1wA,
4,Yelp CEO & Co-founder on Local Businesses during COVID-19 | How I Built This with Guy Raz | NPR,https://www.youtube.com/watch?v=Uh72s2V7kzA,
5,Airbnb CEO on Traveling During COVID-19 with Guy Raz | How I Built This | NPR,https://www.youtube.com/watch?v=PSzE3PIQLJ8,
6,Jeremy Zimmer on Entertainment in the Age of Covid-19 with Guy Raz | How I Built This | NPR,https://www.youtube.com/watch?v=oso3xI3aU7s,
7,Deval Patrick on Systemic Racism and the Economic Fallout of COVID-19 w/ Guy Raz | How I Built This,https://www.youtube.com/watch?v=oDZQAidCnYE,
8,Alberto Perlman on Zumba during COVID-19 with Guy Raz | How I Built This | NPR,https://www.youtube.com/watch?v=Wg5x6jX5390,
9,Jennifer Hyman on Reacting to COVID-19 with Guy Raz | How I Built This | NPR,https://www.youtube.com/watch?v=AMtxoMl5OLo,
12,Ed Yong On How America's Inequality Made Us More Vulnerable to COVID-19 | Code Switch | NPR,https://www.youtube.com/watch?v=Zct4kWYth-g,
13,How Do You Protect Yourself If The Coronavirus Can Linger In the Air | NPR,https://www.youtube.com/watch?v=3z0lr46ZXJ8,
15,Contact Tracing: What We Can Learn From Outbreaks In Other Countries To Fight the Coronavirus | NPR,https://www.youtube.com/watch?v=MrArVxYi62A,
25,When Coronavirus and Xenophobia Go Hand in Hand (Full Podcast) | Code Switch | NPR,https://www.youtube.com/watch?v=E9wSfoaUabg,
