,title,url,Unnamed: 2
0,Why Covid-19 is hitting black people harder and what can be done about it,https://www.youtube.com/watch?v=tKTPa1N4Dow,
2,Coronavirus Dispatch:  Infection inside the White House,https://www.youtube.com/watch?v=wtmA89vW07c,
3,"Highlights from the White House Covid-19 briefing: April 27, 2020",https://www.youtube.com/watch?v=flCJAp61_Dw,
5,Harris calls Covid-19 ‘greatest failure’ of any U.S. administration,https://www.youtube.com/watch?v=2roS7XwXYhc,
6,Digging into Covid-19 disparities and SCOTUS decisions on Trump taxes,https://www.youtube.com/watch?v=YHb7HgO0TrE,
8,"As Covid-19 numbers begin to rise, Trump is hitting the road",https://www.youtube.com/watch?v=CzULkzHd7h0,
10,Coronavirus Dispatch: Did the experts  get it wrong?,https://www.youtube.com/watch?v=UB_RDOCG7So,
11,The implications of President Trump's Covid-19 case,https://www.youtube.com/watch?v=f5nNYJvJ4XY,
12,"Delaying the election, 'suburban lifestyle dreams' and the fight for Covid-19 relief",https://www.youtube.com/watch?v=dygIL4JcUOY,
13,Tackling the Covid-19 tribal divide and the Biden Veepstakes,https://www.youtube.com/watch?v=Vy6YVray5Uc,
14,How Coronavirus is affecting the U.S.,https://www.youtube.com/watch?v=1MiepTV0fA4,
16,"Coronavirus Dispatch: Protest, Rallies, and the Novel Virus",https://www.youtube.com/watch?v=N7LYFk2tzTw,
17,DC could be the next Coronavirus hotspot,https://www.youtube.com/watch?v=asTRSL2ZLV0,
20,Tapes show Trump acknowledging coronavirus threat in February,https://www.youtube.com/watch?v=ZmLswjprmD4,
21,What to know about the Coronavirus Task Force briefing: 8/12/20,https://www.youtube.com/watch?v=VCa8NxN8r0M,
22,Coronavirus Dispatch: Where are the tests?,https://www.youtube.com/watch?v=eSlBJN-EytU,
23,What to know about the Coronavirus Task Force briefing: 4/23/20,https://www.youtube.com/watch?v=snq_wtr555Q,
26,‘Nation of miracles’:  Pence pledges coronavirus vaccine by year’s end - full RNC speech,https://www.youtube.com/watch?v=KlsCrZOMJsI,
29,What to know about the Coronavirus Task Force briefing: 3/19/20,https://www.youtube.com/watch?v=JXlED4uuJVM,
30,Mark Meadows says Trump has mild Coronavirus symptoms,https://www.youtube.com/watch?v=QBtKihbaDt4,
31,Could Coronavirus swing Arizona against Trump?,https://www.youtube.com/watch?v=ocC_4gQ56Ok,
34,Heated exchange between Trump and reporters over coronavirus,https://www.youtube.com/watch?v=qDncZ1WcAH4,
36,What to know about the Coronavirus Task Force briefing:  7/23/20,https://www.youtube.com/watch?v=Xan62YcCqz0,
38,White House Coronavirus Task Force briefing,https://www.youtube.com/watch?v=3lPKXJ6OhyU,
43,Biggest takeaways from the Coronavirus Task Force briefing: 3/20/2020,https://www.youtube.com/watch?v=lgwIfRM-do8,
45,Coronavirus Dispatch: The White House attempt to stimulate the economy,https://www.youtube.com/watch?v=G9cn5yk0y6I,
46,What to know about the Coronavirus Task Force briefing:  8/5/20,https://www.youtube.com/watch?v=whiaGGJfp48,
48,What to know about the Coronavirus Task Force briefing:  7/21/20,https://www.youtube.com/watch?v=I7x6UcTw9G8,
49,How national pride is defining the race for a coronavirus vaccine,https://www.youtube.com/watch?v=2e1pTF2JNR0,
51,What to know about the Coronavirus Task Force briefing: 04/17/20,https://www.youtube.com/watch?v=u3_pXj7Puq8,
52,Barr calls coronavirus lockdowns the ‘greatest intrusion on civil liberties’ since slavery,https://www.youtube.com/watch?v=7iAXdJYEf1E,
54,Biden and Sanders respond to coronavirus outbreak,https://www.youtube.com/watch?v=GJzBGu8Wvzo,
57,What to know about the Coronavirus Task Force briefing: 4/16/20,https://www.youtube.com/watch?v=qH3QDSWPFvY,
58,What to know about the Coronavirus Task Force briefing: 8/13/20,https://www.youtube.com/watch?v=UZ3yBEw1qFA,
59,What to know about the Coronavirus Task Force briefing:  7/22/20,https://www.youtube.com/watch?v=ygj9v_9Fnm0,
60,Coronavirus Dispatch: The Confusion in Reopening,https://www.youtube.com/watch?v=9wd3nhzeRm8,
61,Coronavirus Dispatch: The Newest Relief Package,https://www.youtube.com/watch?v=sxStKKvYZe4,
62,What to know about the Coronavirus Task Force briefing: 8/11/20,https://www.youtube.com/watch?v=MAwDZ4tblGA,
64,What to know about the Coronavirus Task Force briefing: 4/9/20,https://www.youtube.com/watch?v=n3X4FClhz0Y,
65,Coronavirus Dispatch: Trump vs. states,https://www.youtube.com/watch?v=-Dw35J5PIXw,
66,Trump on coronavirus death toll: 'It is what it is',https://www.youtube.com/watch?v=LNZorx2IfcY,
67,What to know about the Coronavirus Task Force briefing: 4/22/20,https://www.youtube.com/watch?v=E_zC72RgolQ,
70,What to know about the Coronavirus Task Force briefing: 4/1/20,https://www.youtube.com/watch?v=hs60pcHMywo,
71,Coronavirus Dispatch: Health or Wealth,https://www.youtube.com/watch?v=jjmfGmm31m4,
72,What to know about the Coronavirus Task Force briefing: 4/8/20,https://www.youtube.com/watch?v=M__3jZ1u7Fg,
73,Daily update from White House coronavirus task force,https://www.youtube.com/watch?v=pVRcFpFa8rc,
74,How coronavirus has changed campaigning in the 2020 election,https://www.youtube.com/watch?v=8UlsFkH-yLc,
75,What to know about the Coronavirus Task Force briefing  6/26/20,https://www.youtube.com/watch?v=Ba9qNIW1ADg,
78,What to know about the Coronavirus Task Force briefing: 3/31/20,https://www.youtube.com/watch?v=2hcaflEevRE,
80,What to know about the Coronavirus Task Force briefing: 3/27/20,https://www.youtube.com/watch?v=tVWo73KAL2A,
81,Nancy Pelosi's haircut and Trump's law & order rhetoric distract from coronavirus,https://www.youtube.com/watch?v=ackrk4zIuzo,
84,What to know about the Coronavirus Task Force briefing: 3/23/20,https://www.youtube.com/watch?v=UzqbfhLuBSY,
85,What to know about the Coronavirus Task Force briefing: 3/24/20,https://www.youtube.com/watch?v=b0Iy0v8PqZ8,
86,What to know about the Coronavirus Task Force briefing: 3/18/20,https://www.youtube.com/watch?v=Wou0fHvNgww,
87,Daily update from White House coronavirus task force,https://www.youtube.com/watch?v=9cra5LsOiaA,
88,What to know about the Coronavirus Task Force briefing: 4/6/20,https://www.youtube.com/watch?v=Rv1E3wD1Wws,
89,What to know about the Coronavirus Task Force briefing: 3/26/20,https://www.youtube.com/watch?v=a8HZhh4KqaQ,
90,President Trump declares national emergency as coronavirus spreads,https://www.youtube.com/watch?v=cqbHVBL-HCc,
91,What to know about the Coronavirus Task Force briefing: 4/7/20,https://www.youtube.com/watch?v=qeqd8bdYcQE,
92,What to know about the Coronavirus Task Force briefing: 3/30/20,https://www.youtube.com/watch?v=obeGILJ6LYQ,
93,"Trump, the press and the coronavirus pandemic",https://www.youtube.com/watch?v=_Ll0Q3mg7F0,
94,What to know about the Coronavirus Task Force briefing: 4/13/20,https://www.youtube.com/watch?v=VO0sMeM7idw,
98,Pelosi unveils $3 trillion coronavirus relief plan,https://www.youtube.com/watch?v=ZqBtOl2GVVc,
101,What to know about the Coronavirus Task Force briefing: 4/21/20,https://www.youtube.com/watch?v=q-Tj4E5rJKQ,
104,What to know about the Coronavirus Task Force briefing: 4/20/20,https://www.youtube.com/watch?v=jgVtYu7OEs8,
108,What to know about the Coronavirus Task Force briefing: 4/14/20,https://www.youtube.com/watch?v=gGH0wYjU7gE,
113,Trump announces 30-day suspension of travel from Europe in Oval Office address on coronavirus,https://www.youtube.com/watch?v=wbKqPQi-i4s,
139,What to know about the Coronavirus Task Force briefing: 4/3/20,https://www.youtube.com/watch?v=V-2SCfk8tF8,
213,How to make political cartoons about Coronavirus,https://www.youtube.com/watch?v=ZK2jZg20lhQ,
214,White House Coronavirus Task Force announces new guidelines,https://www.youtube.com/watch?v=R0TLUR802P8,
