,title,url,Unnamed: 2
0,Trump seeks to put COVID-19 behind him,https://www.youtube.com/watch?v=ypgjkvnTXjs,
2,The WHO holds a briefing on the global COVID-19 outbreak,https://www.youtube.com/watch?v=lkSaAYJEs6A,
3,Cristiano Ronaldo tests positive for COVID-19,https://www.youtube.com/watch?v=tOgj0bbPSoI,
5,Trump holds first public event since COVID-19 diagnosis,https://www.youtube.com/watch?v=U_SqmvJPU9w,
6,Four Vatican Swiss Guards test positive for COVID-19,https://www.youtube.com/watch?v=6c9Ofh7YCc8,
7,U.S. tells states to prepare for COVID-19 vaccine,https://www.youtube.com/watch?v=e8oIs6CkkCA,
8,U.S. states see record increases in COVID-19 cases,https://www.youtube.com/watch?v=h6JwAbhcc4w,
10,"COVID-19 can spread by airborne transmission, CDC says",https://www.youtube.com/watch?v=K1hreJM6VqE,
11,Russia's COVID-19 vaccine creator,https://www.youtube.com/watch?v=F-1V9FaXlc4,
12,"Pelosi, Mnuchin fail to reach COVID-19 deal",https://www.youtube.com/watch?v=8KhrS2J6zMU,
13,Dengue may provide COVID-19 immunity: study,https://www.youtube.com/watch?v=C9ozK7GhQcc,
14,J&J pauses COVID-19 vaccine trials due to illness,https://www.youtube.com/watch?v=QG6V13--zws,
15,Brazil's COVID-19 deaths surge past UK,https://www.youtube.com/watch?v=cpJLpYMP7lI,
16,Sweden's COVID-19 approach explained,https://www.youtube.com/watch?v=OMwBw9iwQQw,
17,"Global COVID-19 death toll nears 800,000",https://www.youtube.com/watch?v=x3oJU2AfNYM,
18,Florida COVID-19 cases spike to new daily record,https://www.youtube.com/watch?v=oY0D0SBR-OE,
19,Madagascar puts COVID-19 'cure' on sale,https://www.youtube.com/watch?v=0DYPHePMSX8,
20,What a Catholic pilgrimage looks like in COVID-19,https://www.youtube.com/watch?v=_lnSUMG9NMM,
21,The WHO holds a briefing on the global COVID-19 outbreak,https://www.youtube.com/watch?v=Bp0Xpx9o4pk,
22,Goat and pawpaw 'test positive' for COVID-19 in Tanzania,https://www.youtube.com/watch?v=s4p8DM8rKJI,
23,COVID-19 hospital overwhelmed as India surges,https://www.youtube.com/watch?v=bt2mmYesGHY,
24,LIVE: WHO briefing on COVID-19 infections among health workers,https://www.youtube.com/watch?v=OdX2l7Drj10,
25,U.S. tells states to prepare for COVID-19 vaccine distribution,https://www.youtube.com/watch?v=0-opiozIp54,
26,Brazil's symbolic COVID-19 'graveyard',https://www.youtube.com/watch?v=xvgDjCUxLUM,
28,France faces new deadly wave of COVID-19,https://www.youtube.com/watch?v=2pKsvM4AE_k,
29,Trump appears at first public event since COVID-19 diagnosis,https://www.youtube.com/watch?v=ISeZY4ujs-M,
30,France faces new deadly wave of COVID-19,https://www.youtube.com/watch?v=2pKsvM4AE_k,
31,"COVID-19 cases surging in Alabama, Oklahoma",https://www.youtube.com/watch?v=M3mYsXwIgGs,
32,"LIVE: WHO gives a COVID-19 update as U.S. deaths near 200,000",https://www.youtube.com/watch?v=4nlu2POE7Ac,
33,U.S. pours billions into COVID-19 vaccine race,https://www.youtube.com/watch?v=bWLrdEdmnXU,
34,"FDA, EU diverge on AstraZeneca COVID-19 vaccine",https://www.youtube.com/watch?v=NMQ2xu6l2Ss,
35,California hospitals see influx of COVID-19 patients,https://www.youtube.com/watch?v=GHUA20rmSO8,
36,U.S. COVID-19 cases soar past 2.5 million,https://www.youtube.com/watch?v=m0vcPh-b_WE,
37,North Carolina sees highest day of new COVID-19 cases,https://www.youtube.com/watch?v=rHuRnsEt6pQ,
38,Australia to receive COVID-19 vaccine within months,https://www.youtube.com/watch?v=ZfxxK2XyaRY,
39,Africans scale back funerals to curb COVID-19,https://www.youtube.com/watch?v=uNS6hiQhv9I,
40,A muted July 4th as COVID-19 cases soar,https://www.youtube.com/watch?v=AKMgzUw0gEE,
41,Brazil restores COVID-19 data after court ruling,https://www.youtube.com/watch?v=uhmd3tHeI4s,
42,California sees record jump in COVID-19 cases,https://www.youtube.com/watch?v=4DYSot4CL64,
44,Twitter flags Trump claim of COVID-19 immunity,https://www.youtube.com/watch?v=KuEpGmtXQD0,
45,U.S. records over 7 million COVID-19 cases,https://www.youtube.com/watch?v=cWxLczn4uSs,
46,LIVE: WHO officials discuss COVID-19 in the Americas,https://www.youtube.com/watch?v=LC1pJeu8P3g,
47,New Zealand's COVID-19 outbreak grows,https://www.youtube.com/watch?v=FGzuHoCPtfw,
