,title,url,Unnamed: 2
1,What COVID-19 looks like inside the Church of Jesus Christ of Latter-day Saints,https://www.youtube.com/watch?v=vLE3GrT412k,
2,Liberty University students react to NYT article about COVID-19 symptoms,https://www.youtube.com/watch?v=hFZFVhaPLCo,
3,Can you contract coronavirus from a surface or object?,https://www.youtube.com/watch?v=U-eyTEpf0RA,
4,How to feel confident that a COVID-19 vaccine is safe,https://www.youtube.com/watch?v=dNcXdDPe3iU,
5,"FACT CHECK: Oleandrin, touted as a COVID-19 cure, has no scientific support",https://www.youtube.com/watch?v=xtO8MbS1YT0,
7,WHO gives update on coronavirus outbreak,https://www.youtube.com/watch?v=C1nLKCNj5Bg,
8,Trump downplayed COVID-19 in days before testing positive for it,https://www.youtube.com/watch?v=xwGfRtrYxHk,
9,Black Americans are dying of COVID-19 at a higher rate than anyone else. Why?,https://www.youtube.com/watch?v=a35GgBxGbm8,
10,A COVID-19 warning for expectant mothers — especially Black and Hispanic women,https://www.youtube.com/watch?v=R7D2zSFAOHE,
11,"As coronavirus cases climb, Trump often asserts that COVID-19 will go away",https://www.youtube.com/watch?v=aWLxxbovtkM,
13,New York health care workers share lessons from the COVID-19 frontlines,https://www.youtube.com/watch?v=zAlrXwtu5Do,
14,San Francisco company honors fallen COVID-19 frontline heroes with a free final resting place,https://www.youtube.com/watch?v=9-S-YIvW9nc,
15,Who would get a coronavirus vaccine?,https://www.youtube.com/watch?v=H-rN9-laztI,
16,What President Trump’s positive COVID test means | Yahoo News Explains,https://www.youtube.com/watch?v=s_-3rvfyBvg&t=141s,
18,Virtual grieving in the age of coronavirus,https://www.youtube.com/watch?v=m5xPugcNwAY,
19,A public health employee predicted Florida’s coronavirus catastrophe — then she was fired,https://www.youtube.com/watch?v=KWlsaBIDTY8,
20,COVID-19 and pregnancy: what we know so far,https://www.youtube.com/watch?v=rJMbejUjfv8,
22,WHO holds daily briefing on coronavirus,https://www.youtube.com/watch?v=_yzTbili-xs,
23,Makeshift hospitals transform NYC as it battles coronavirus pandemic,https://www.youtube.com/watch?v=Qj9L_Z6WLUo,
24,Four myths about the deadly coronavirus and the facts you need,https://www.youtube.com/watch?v=bnyGvoQB0r4,
25,Could the coronavirus have been accidentally released from a Chinese lab?,https://www.youtube.com/watch?v=fqdhNXjD2EE,
26,What do the new CDC coronavirus testing guidelines mean | Yahoo News Explains,https://www.youtube.com/watch?v=pb_c5ffl6dA,
27,Trump's belief that colleges are 'low risk' may overlook long-term COVID-19 complications,https://www.youtube.com/watch?v=eRQz3TVSJXE,
28,Coronavirus vaccine: What are the issues?,https://www.youtube.com/watch?v=nqDCD8CUirw,
29,Could a second wave of coronavirus delay the 2020 election?,https://www.youtube.com/watch?v=FdNB5XyOyFk,
30,Influencer shares battle with coronavirus after visiting Milan for Fashion Week,https://www.youtube.com/watch?v=d4dluIBUmnM,
31,Coronavirus and the lessons of the 1918 pandemic for a world on edge,https://www.youtube.com/watch?v=ziBZT3s9JEA,
32,Synthetic antibodies might offer a quick coronavirus treatment,https://www.youtube.com/watch?v=TWups0yudjY,
33,FULL VIDEO: Trump holds first in-person event at White House since COVID diagnosis,https://www.youtube.com/watch?v=elZ30Ah5xnc,
34,World Health Organization gives briefing on coronavirus outbreak,https://www.youtube.com/watch?v=1b5vSTVg1_A,
35,Food waste piles up amidst coronavirus pandemic,https://www.youtube.com/watch?v=Ga4Y2i6A7E8,
36,WHO gives another briefing over the Coronavirus,https://www.youtube.com/watch?v=hjAI8goAXjw,
37,Is it safe to reopen schools as coronavirus cases surge?,https://www.youtube.com/watch?v=07Nruo03jio,
40,What remdesivir means for ending the coronavirus,https://www.youtube.com/watch?v=thTmgXGZnf4,
41,The World Health Organization holds briefing on the Coronavirus,https://www.youtube.com/watch?v=ej3SQIbbET0,
42,‘Am I next?’: New York ER doctor shares how she lives with the anxiety of the coronavirus pandemic,https://www.youtube.com/watch?v=t15NetIyE34,
